anime_id,name,genre,type,episodes,rating,members
32281,"Kimi no Na wa.",2687,1,1,9.37,200630
5114,"Fullmetal Alchemist: Brotherhood",162,6,64,9.26,793665
28977,"Gintama°",535,6,51,9.25,114262
9253,"Steins;Gate",3241,6,24,9.17,673572
9969,"Gintama&#039;",535,6,51,9.16,151266
32935,"Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou",1819,6,10,9.15,93351
11061,"Hunter x Hunter (2011)",364,6,148,9.13,425855
820,"Ginga Eiyuu Densetsu",2624,4,110,9.11,80679
15335,"Gintama Movie: Kanketsu-hen - Yorozuya yo Eien Nare",535,1,1,9.1,72534
15417,"Gintama&#039;: Enchousen",535,6,13,9.11,81109
4181,"Clannad: After Story",2493,6,24,9.06,456749
28851,"Koe no Katachi",2714,1,1,9.05,102733
918,"Gintama",535,6,201,9.04,336376
2904,"Code Geass: Hangyaku no Lelouch R2",778,6,25,8.98,572888
28891,"Haikyuu!! Second Season",1819,6,25,8.93,179342
199,"Sen to Chihiro no Kamikakushi",1505,1,1,8.93,466254
23273,"Shigatsu wa Kimi no Uso",2631,6,22,8.92,416397
24701,"Mushishi Zoku Shou 2nd Season",1527,6,10,8.88,75894
12355,"Ookami Kodomo no Ame to Yuki",2868,1,1,8.84,226193
1575,"Code Geass: Hangyaku no Lelouch",1061,6,25,8.83,715151
263,"Hajime no Ippo",1828,6,75,8.83,157670
44,"Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen",741,4,4,8.83,129307
1,"Cowboy Bebop",35,6,26,8.82,486824
30276,"One Punch Man",609,6,12,8.82,552458
164,"Mononoke Hime",217,1,1,8.81,339556
7311,"Suzumiya Haruhi no Shoushitsu",2206,1,1,8.81,240297
17074,"Monogatari Series: Second Season",2207,6,26,8.8,205959
21939,"Mushishi Zoku Shou",1527,6,10,8.8,101351
457,"Mushishi",1527,6,26,8.78,300030
2001,"Tengen Toppa Gurren Lagann",107,6,27,8.78,562962
245,"Great Teacher Onizuka",1817,6,43,8.77,268487
32983,"Natsume Yuujinchou Go",2499,6,13,8.76,38865
5258,"Hajime no Ippo: New Challenger",1828,6,26,8.75,88995
28957,"Mushishi Zoku Shou: Suzu no Shizuku",1527,1,1,8.75,32266
11665,"Natsume Yuujinchou Shi",2499,6,13,8.75,98431
431,"Howl no Ugoku Shiro",1442,1,1,8.74,333186
11741,"Fate/Zero 2nd Season",939,6,12,8.73,340973
31757,"Kizumonogatari II: Nekketsu-hen",1135,1,1,8.73,34347
19,"Monster",2565,6,74,8.72,247562
12365,"Bakuman. 3rd Season",1808,6,25,8.71,133620
1535,"Death Note",3147,6,37,8.71,1013917
32366,"Gintama°: Aizome Kaori-hen",2215,4,2,8.69,16947
30654,"Ansatsu Kyoushitsu (TV) 2nd Season",631,6,25,8.68,176475
20583,"Haikyuu!!",1819,6,25,8.68,284498
19647,"Hajime no Ippo: Rising",1828,6,25,8.68,66756
4282,"Kara no Kyoukai 5: Mujun Rasen",803,1,1,8.68,111074
10379,"Natsume Yuujinchou San",2499,6,13,8.67,102322
22135,"Ping Pong The Animation",3191,6,11,8.67,97187
21329,"Mushishi Special: Hihamukage",1527,5,1,8.66,49036
31043,"Boku dake ga Inai Machi",3153,6,12,8.65,402381
7785,"Yojouhan Shinwa Taikei",3150,6,11,8.65,122531
3297,"Aria The Origination",2860,6,13,8.64,56162
30709,"Kamisama Hajimemashita: Kako-hen",1702,4,4,8.64,33422
6114,"Rainbow: Nisha Rokubou no Shichinin",2557,6,26,8.64,139474
31240,"Re:Zero kara Hajimeru Isekai Seikatsu",2486,6,25,8.64,355839
4565,"Tengen Toppa Gurren Lagann Movie: Lagann-hen",1097,1,1,8.64,82253
5300,"Zoku Natsume Yuujinchou",2499,6,13,8.64,114173
